Import Country,2017,2018,2019,2020,2021
France,610139002,652754418,678929787,689120615,822974648
United States,559530972,567314192,548701677,597857780,624017984
Italy,529990551,555561487,568707045,571004882,617565250
Spain,157844776,169816634,169125745,174403815,195829857
Australia,218029557,243945825,224556666,210998674,188000902
New Zealand,117233668,124846828,127691281,128222547,118109136
Chile,124791521,123955333,123976986,125237939,108885940
Argentina,100456041,103186269,105578882,106742792,96983389
Portugal,65864757,73101423,73074816,77887972,79655950
South Africa,53163470,50211933,44772772,41714350,49400404
Germany,35670053,34678270,33358316,32271743,37413083
United Kingdom,25082643,24990758,22718050,18960290,20574628
Austria,5100450,6564288,6357593,9195226,14576162
Greece,8848493,9447852,9887359,10544076,13285843
Japan,6827826,8155950,8911789,8280907,10002029
Belgium,2532491,3512169,3635587,2790302,4074581
Moldova,3964993,3832956,3881142,4005852,3795151
Hungary,4543287,4818121,4588214,4180578,3669660
Israel,2970537,2754201,3034279,3173758,3129827
Luxembourg,2843042,2677551,2864392,3272325,2429238
Georgia,1112344,1164570,1224147,1273229,1898983
Lebanon,1496002,1552722,2102431,1196598,1534504
Croatia,795121,661040,820734,1095013,1287109
Ireland,2342951,2129711,1860237,1045281,1215917
Czech Republic,499004,697960,656936,885608,1144985
Sweden,593930,666962,593570,1074697,1038668
Romania,1243389,1151058,1041488,1175840,1024451
Jamaica,289746,448413,335483,234698,787930
Serbia,670572,722143,568731,749047,776425
Netherlands,373787,731289,1095876,497227,582778
China,345888,160772,276448,300896,572763
Macedonia,980037,985297,524590,795403,440637
Denmark,21278762,19039441,15976384,2798875,436754
Bulgaria,693352,523382,565861,372739,387122
Switzerland,468889,501047,339737,304914,384606
"Korea, South",372637,437889,403016,390107,372643
Uruguay,354543,233885,347787,475150,356004
Mexico,450980,327832,283227,255806,306283
Armenia,118351,168173,239346,211288,283682
Montenegro,220324,237197,198060,223798,267110
Trinidad and Tobago,6,65933,76719,124593,212879
Ukraine,83197,95640,151963,169691,190451
Poland,159157,133807,165292,129523,139440
Peru,142522,142266,108759,118422,126634
Slovenia,119664,195880,233578,129392,125742
Slovakia,801,35297,129827,56727,58857
Saudi Arabia,81,845,417,87,57746
Morocco,152252,151318,154657,140155,46648
India,33722,262,351,169,38930
Turkey,87023,91727,63759,13523,36106
Taiwan,33554,35630,288,32316,27531
Re-Imports (Canada),1612,287,595,100300,23494
Hong Kong,7920,60608,1002,9761,12773
Lithuania,13960,10,11541,20970,11463
Cyprus,33,12890,154,9666,11369
Jordan,,,532,4589,9487
Brazil,44050,32668,37739,17888,9321
Finland,639447,570120,337778,51499,7322
Sierra Leone,,22,469,150,4658
French Polynesia,,,,,3147
Latvia,12,2495,5519,1260,3041
Russia,59,,1082,26,676
Sri Lanka,,,,,647
Malta,,,,,566
Kenya,,,,,537
Antigua and Barbuda,,,,,496
Congo (formerly Zaire),,,,,436
Philippines,3,18,207,42,232
Benin,,,,,219
Egypt,,,62,46,176
Namibia,52,,,,123
Iran,117,15,14,,112
Nigeria,204,73,,696,88
Syria,,16351,17773,13878,68
Panama,,88,,1852,64
Mauritius,,46,,,51
Côte-d'Ivoire,2000,478,101,55,38
Macau (Macao),,,,,38
Algeria,8562,9722,5533,,37
Tunisia,75370,61649,17205,73,29
Thailand,,,,,3
Ghana,,,,,1
Barbados,10,,,8632,
United Arab Emirates,712,2663,54,6743,
Belarus (formerly Byelorussia),19632,7,5571,4475,
Estonia,3318,2938,1736,3371,
Norway,1029,,,643,
Bolivia,16,,84,317,
Singapore,207,,,51,
Costa Rica,,230,4,18,
Colombia,60,107,80,16,
Bosnia-Hercegovina,,33,1362,,
Albania,,,97,,
Tanzania,,,59,,
Paraguay,,,57,,
Libya,,,45,,
Azerbaijan,229,6,30,,
Afghanistan,1396,,24,,
Iceland,1960,65,5,,
Gabon,,,3,,
Papua New Guinea,,542,,,
Nicaragua,,72,,,
Cuba,,46,,,
Ecuador,,43,,,
Brunei Darussalam,,18,,,
Cook Islands,198,,,,
Malaysia,145,,,,
Maldives,135,,,,
Madagascar,96,,,,
Vietnam,16,,,,
